Search,Search Count,Last Search Date
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 K3000",3,134024811702375586
"K3000 O3",3,134018762643581308
"moxa",3,134018714422549182
"S25",3,134017918373782956
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 LSE SI",3,133994580444455171
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 LSE SIF",3,133994568457656587
"0472",3,133994351967255809
"남성민",3,133989222092827462
"S250562-1 ATI",3,133988322986131848
"S250143",3,133988293197256118
"D_WTR",3,133985051902318460
"S250569",3,133985051352534514
"KCTECH STA",3,133981555607373568
"S250398",3,133977303015602725
"S241034",3,133972899734016694
"S250341",3,133971864990855930
"0538",3,133970439979803794
"S250202",3,133970189463048348
"0299",3,133969308560864320
"S240299",3,133969307609593522
"S240684",3,133969288499559075
"""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup"" 1234",3,133966740057989829
"MergeCode.gpp",3,133963363243040449
"S250394 LSE SIF #41 WTR1",3,133959862160147430
"S250394 LSE SIF #41 INDEX",3,133959861716081241
"S250213",3,133959249358381799
"메뉴얼",3,133958126579803750
"__init__RobotConfig__.gpl content:""setFinger(1,""quot:""20004,20006,20005""quot:"")"" ""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\"" ",3,133952240092193615
"0169",3,133952233716504814
"S250393",3,133945936762428167
"개발 설명서",3,133945105611563715
"Inspect.exe",3,133942010515455050
"S241084",3,133941716313249721
"K300",3,133941708601183476
"Everything.ini",3,133939931912955955
"ISO",3,133939931909316885
"프로토콜",2,134031741620586662
"folder: Test_robot",2,134031695109394336
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 AUROS 100N",2,134031682213631887
"folder: KCTECH NTA INDEX 22",2,134031671925140584
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 LSE SI",2,134030814793146062
"LSE SI",2,134030814717937034
"RND_WTR",2,134030683224721877
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 LSE SC",2,134029991510537414
"NTH 32",2,134029762912254860
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 nextin scara",2,134027412940935760
"STM",2,134027231515839365
"C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup",2,134026557990120932
"""\\Rnd2000-server\C0000_Project\CF000_프로젝트이력"" S250713",2,134025469066887141
